TimeCnt,Angles,Velocities
0,"[2, 170, 172, 180, 27, 177, 178, 10, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.5,"[0, 176, 173, 180, 26, 177, 178, 12, 12]","[-0.004, 0.012, 0.002, 0, -0.002, 0, 0, 0.004, 0.002]"
1,"[1, 172, 175, 179, 26, 177, 179, 12, 14]","[0.002, -0.008, 0.004, -0.002, 0, 0, 0.002, 0, 0.004]"
1.5,"[2, 41, 53, 179, 25, 179, 179, 12, 11]","[0.002, -0.262, -0.244, 0, -0.002, 0.004, 0, 0, -0.006]"
2,"[2, 15, 20, 178, 25, 180, 178, 12, 12]","[0, -0.052, -0.066, -0.002, 0, 0.002, -0.002, 0, 0.002]"
2.5,"[0, 13, 19, 179, 25, 178, 177, 12, 14]","[-0.004, -0.004, -0.002, 0.002, 0, -0.004, -0.002, 0, 0.004]"
3,"[4, 30, 28, 178, 26, 178, 175, 10, 11]","[0.008, 0.034, 0.018, -0.002, 0.002, 0, -0.004, -0.004, -0.006]"
3.5,"[3, 125, 127, 178, 26, 178, 177, 8, 12]","[-0.002, 0.19, 0.198, 0, 0, 0, 0.004, -0.004, 0.002]"
4,"[2, 173, 169, 179, 25, 180, 180, 12, 10]","[-0.002, 0.096, 0.084, 0.002, -0.002, 0.004, 0.006, 0.008, -0.004]"
